sector_rank,company_id,company_name,broad_sector,year,return_on_equity_pct,sector_avg_roe,roe_vs_sector_pct,net_profit_margin_pct,sector_avg_npm,npm_vs_sector_pct,debt_to_equity,sector_avg_de,de_vs_sector,revenue_cagr_5yr,sector_avg_revenue_cagr,revenue_cagr_vs_sector_pct,interest_coverage,sector_avg_icr,icr_vs_sector,sector_relative_score
1,BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Unknown,2024,12.311318389248282,109.25197692781899,-96.9406585385707,432.7262044653349,19.31474558300852,413.4114588823264,0.0007856510037945271,1.6835835158617052,-1.6827978648579107,31.612293448969165,13.390495395696064,18.2217980532731,3764.5,117.53593342333016,3646.9640665766697,4
1,BEL,Bharat Electronics Ltd,Unknown,2024,4379.120879120879,109.25197692781899,4269.86890219306,19.661535425300965,19.31474558300852,0.3467898422924449,0.8571428571428571,1.6835835158617052,-0.8264406587188481,10.7508063318833,13.390495395696064,-2.6396890638127637,476.75,117.53593342333016,359.21406657666984,4
1,HAL,Hindustan Aeronautics Ltd,Unknown,2024,3669.0821256038644,109.25197692781899,3559.8301486760456,24.999177117277245,19.31474558300852,5.684431534268725,0.5990338164251208,1.6835835158617052,-1.0845496994365844,8.712548590236358,13.390495395696064,-4.677946805459706,270.8837209302326,117.53593342333016,153.34778750690242,4
2,ABB,Abbott India Ltd,Unknown,2024,34.10962794660608,109.25197692781899,-75.1423489812129,20.533424517011454,19.31474558300852,1.2186789340029343,0.017040613462084634,1.6835835158617052,-1.6665429023996206,9.716101277290168,13.390495395696064,-3.674394118405896,141.75,117.53593342333016,24.214066576669836,3
2,ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Unknown,2024,14.173779208059326,109.25197692781899,-95.07819771975966,30.339560480700833,19.31474558300852,11.024814897692313,0.882975374282916,1.6835835158617052,-0.8006081415787892,19.57867595245697,13.390495395696064,6.188180556760905,5.949506037321624,117.53593342333016,-111.58642738600854,3
2,ADANIPOWER,Adani Power Ltd,Unknown,2024,37.22522071701755,109.25197692781899,-72.02675621080144,41.36759945184802,19.31474558300852,22.052853868839502,0.6738570969010258,1.6835835158617052,-1.0097264189606794,16.086096410440966,13.390495395696064,2.695601014744902,8.297225501770956,117.53593342333016,-109.23870792155921,3
2,BAJFINANCE,Bajaj Finance Ltd,Unknown,2024,16.648042118359964,109.25197692781899,-92.60393480945902,26.287928399912687,19.31474558300852,6.973182816904167,3.7351013213829014,1.6835835158617052,2.051517805521196,24.352642739542006,13.390495395696064,10.962147343845942,2689.1666666666665,117.53593342333016,2571.630733243336,3
2,DIVISLAB,Divis Laboratories Ltd,Unknown,2024,11.66435809579354,109.25197692781899,-97.58761883202544,20.395156150414277,19.31474558300852,1.0804105674057567,0.000583217904789677,1.6835835158617052,-1.6830002979569154,9.664930361854074,13.390495395696064,-3.72556503384199,636.25,117.53593342333016,518.7140665766699,3
2,HDFCLIFE,HDFC Life Insurance Company Ltd,Unknown,2024,10.087157139195078,109.25197692781899,-99.1648197886239,1.5510139729213062,19.31474558300852,-17.763731610087213,0.060881825173032554,1.6835835158617052,-1.6227016906886726,21.16813430936688,13.390495395696064,7.777638913670817,192.2895238095238,117.53593342333016,74.75359038619365,3
2,INDIGO,Interglobe Aviation Ltd,Unknown,2024,856.9779643231899,109.25197692781899,747.7259873953709,11.852722628584697,19.31474558300852,-7.462022954423823,0.02098635886673662,1.6835835158617052,-1.6625971569949685,19.313355125806165,13.390495395696064,5.922859730110101,22.612639724849526,117.53593342333016,-94.92329369848063,3
2,IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Unknown,2024,31.535623048538174,109.25197692781899,-77.71635387928082,26.01873536299766,19.31474558300852,6.70398977998914,0.011921657678115243,1.6835835158617052,-1.67166185818359,17.955244103890912,13.390495395696064,4.564748708194848,82.73684210526316,117.53593342333016,-34.799091318067,3
