portfolio_rank,company_id,company_name,broad_sector,year,return_on_equity_pct,net_profit_margin_pct,debt_to_equity,revenue_cagr_5yr,interest_coverage,composite_score
1,TRENT,Trent Ltd,Unknown,2024,31.55982905982906,11.935353535353535,0.3935897435897436,36.30691600183056,8.043478260869565,65.0
2,INDIGO,Interglobe Aviation Ltd,Unknown,2024,856.9779643231899,11.852722628584697,0.02098635886673662,19.313355125806165,22.612639724849526,64.31335512580617
3,IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Unknown,2024,31.535623048538174,26.01873536299766,0.011921657678115243,17.955244103890912,82.73684210526316,62.95524410389091
4,LTIM,LTIMindtree Ltd,Unknown,2024,21.755634638196916,12.90931103415266,0.11036773428232503,30.32798083513346,31.93243243243243,61.755634638196916
5,ADANIPOWER,Adani Power Ltd,Unknown,2024,37.22522071701755,41.36759945184802,0.6738570969010258,16.086096410440966,8.297225501770956,61.086096410440966
6,NESTLEIND,Nestle India Ltd,Unknown,2024,98.57142857142858,16.12281708616873,0.09273182957393483,14.548573711802671,41.186206896551724,59.548573711802675
7,INFY,Infosys Ltd,Unknown,2024,29.015177475874115,17.08075746730006,0.09732155687960824,13.199100930556229,87.52340425531915,58.19910093055623
8,ASIANPAINT,Asian Paints Indian Multi-National Paint and Coating Manufacturing Company,Unknown,2024,30.836662228140256,15.658543456824905,0.13959165557035064,13.029660349453076,41.00487804878049,58.029660349453074
9,ATGL,Adani Total Gas Ltd,Unknown,2024,17.08003068268985,14.927374301675977,0.3725389925850166,21.08864867789759,10.504504504504505,57.08003068268985
10,BEL,Bharat Electronics Ltd,Unknown,2024,4379.120879120879,19.661535425300965,0.8571428571428571,10.7508063318833,476.75,55.7508063318833
11,HCLTECH,HCL Technologies Ltd,Unknown,2024,22.809437386569872,14.293122742532729,0.08407985480943739,12.710299978373406,46.46112115732369,55.51973736494328
12,TCS,Tata Consultancy Services Ltd,Unknown,2024,45.4199714271639,19.136712150207767,0.08912754322873048,10.463614801716602,87.09511568123393,55.4636148017166
13,LT,Larsen & Toubro Ltd,Unknown,2024,73.76986951364175,7.031246466738726,0.11036773428232503,10.335347989682408,3.5441547518923464,55.335347989682404
14,ABB,Abbott India Ltd,Unknown,2024,34.10962794660608,20.533424517011454,0.017040613462084634,9.716101277290168,141.75,54.716101277290164
15,HAL,Hindustan Aeronautics Ltd,Unknown,2024,3669.0821256038644,24.999177117277245,0.5990338164251208,8.712548590236358,270.8837209302326,53.71254859023636
16,BRITANNIA,Britannia Industries Ltd,Unknown,2024,66.47975077881621,12.725863199952292,0.8579439252336448,8.690023727476138,20.597560975609756,53.69002372747614
17,BPCL,Bharat Petroleum Corporation Ltd,Unknown,2024,34.832961560408776,5.994201967046283,0.763604295274161,8.483226324685255,11.355507351168956,53.483226324685255
18,LICI,Life Insurance Corporation of India,Unknown,2024,41.906244558927455,4.836600998148862,0.00010242018906766902,8.15986061977938,371.9375,53.15986061977938
19,BAJAJ-AUTO,Bajaj Auto Ltd,Unknown,2024,24.881371251492947,17.178515712057056,0.16930824106652895,8.127604751021389,174.41666666666666,53.00897600251434
20,ITC,ITC Ltd,Unknown,2024,27.57021762814551,29.282025230717128,0.004039008317168443,7.950896846254429,362.9625,52.95089684625443
21,COALINDIA,Coal India Ltd,Unknown,2024,38.84632576899488,26.25628846856468,0.0812499350291589,7.402890725901301,11.24178180085755,52.4028907259013
22,EICHERMOT,Eicher Motors Ltd,Unknown,2024,21.081195005005533,24.195694242864054,0.021286685283734653,11.036936496739692,114.70588235294117,52.118131501745225
23,PIDILITIND,Pidilite Industries Ltd,Unknown,2024,20.04589787722318,14.108051360736493,0.04348823866896156,11.836370175898114,54.333333333333336,51.882268053121294
24,IOC,Indian Oil Corporation,Unknown,2024,23.79773496686259,5.559462717942377,0.9009461530827167,8.008755667240486,10.282324578099226,51.80649063410307
25,DRREDDY,Dr Reddys Laboratories Ltd,Unknown,2024,18.140427330970113,19.913605369319196,0.15785879215584248,12.639644349571988,51.707602339181285,50.7800716805421
26,HINDUNILVR,Hindustan Unilever Ltd,Unknown,2024,20.249724279187017,16.611735814915342,0.03251536158815188,9.504485244074123,57.847001223990205,49.75420952326114
27,HAVELLS,Havells India Ltd,Unknown,2024,16.307415960995638,6.837009144701453,0.042596869386707724,13.037907939063121,25.357142857142858,49.34532390005876
28,TORNTPHARM,Torrent Pharmaceuticals Ltd,Unknown,2024,22.068230277185503,15.436241610738255,0.4168443496801706,6.932744476678732,9.926553672316384,49.000974753864234
29,SIEMENS,Siemens Ltd,Unknown,2024,17.698769290877124,12.221223021582734,0.018167610861496385,11.193358902067896,67.15,48.89212819294502
30,ZYDUSLIFE,ZYDUSLIFE,Unknown,2024,18.20389461626575,20.32536962193687,0.00870561282932417,8.224416370673238,70.08641975308642,46.42831098693899
31,BOSCHLTD,Bosch Ltd,Unknown,2024,19.547809703250117,14.886112273569676,0.0024336630554247134,6.717165240230294,71.7843137254902,46.26497494348041
32,MARUTI,Maruti Suzuki India Ltd,Unknown,2024,15.133631039202927,9.50809964894472,0.0017727711330027152,10.510215112642584,117.90721649484536,45.64384615184551
33,DABUR,Dabur India Ltd,Unknown,2024,17.477320980505695,14.600128990648178,0.1690793283149971,7.814065037783324,23.241935483870968,45.29138601828902
34,ONGC,Oil & Natural Gas Corpn Ltd,Unknown,2024,16.209165540655622,9.655290194725701,0.5435766274171389,7.001683761214439,11.361290955463998,43.21084930187006
